cod_ibge;Municipio;Valor;Ano;Tipo;Valor Estado;Indicador 1;Indicador 2;Indicador 3;Indicador 4;Indicador 5;
3502705;Apiaí;0,283;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502705;Apiaí;0,261;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502705;Apiaí;0,269;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502705;Apiaí;0,277;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502705;Apiaí;0,276;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502705;Apiaí;0,312;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502754;Araçariguama;0,501;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502754;Araçariguama;0,507;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502754;Araçariguama;0,555;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502754;Araçariguama;0,542;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502754;Araçariguama;0,547;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502754;Araçariguama;0,561;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502804;Araçatuba;0,43;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502804;Araçatuba;0,418;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502804;Araçatuba;0,435;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502804;Araçatuba;0,428;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502804;Araçatuba;0,415;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502804;Araçatuba;0,449;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3502903;Araçoiaba da Serra;0,348;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3502903;Araçoiaba da Serra;0,337;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3502903;Araçoiaba da Serra;0,401;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3502903;Araçoiaba da Serra;0,407;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3502903;Araçoiaba da Serra;0,407;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3502903;Araçoiaba da Serra;0,434;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503000;Aramina;0,33;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503000;Aramina;0,312;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503000;Aramina;0,33;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503000;Aramina;0,328;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503000;Aramina;0,317;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503000;Aramina;0,354;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503109;Arandu;0,29;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503109;Arandu;0,298;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503109;Arandu;0,339;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503109;Arandu;0,357;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503109;Arandu;0,347;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503109;Arandu;0,378;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503158;Arapeí;0,211;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503158;Arapeí;0,206;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503158;Arapeí;0,237;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503158;Arapeí;0,249;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503158;Arapeí;0,252;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503158;Arapeí;0,26;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503208;Araraquara;0,436;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503208;Araraquara;0,422;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503208;Araraquara;0,436;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503208;Araraquara;0,432;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503208;Araraquara;0,428;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503208;Araraquara;0,452;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503307;Araras;0,414;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503307;Araras;0,394;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503307;Araras;0,411;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503307;Araras;0,407;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503307;Araras;0,403;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503307;Araras;0,422;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503356;Arco-Íris;0,242;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503356;Arco-Íris;0,288;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503356;Arco-Íris;0,357;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503356;Arco-Íris;0,372;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503356;Arco-Íris;0,354;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503356;Arco-Íris;0,387;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503406;Arealva;0,341;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503406;Arealva;0,298;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503406;Arealva;0,366;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503406;Arealva;0,368;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503406;Arealva;0,348;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503406;Arealva;0,377;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503505;Areias;0,215;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503505;Areias;0,212;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503505;Areias;0,241;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503505;Areias;0,248;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503505;Areias;0,24;2022;Riqueza;0,441;;;;;Indicador Riqueza;
3503505;Areias;0,28;2024;Riqueza;0,464;;;;;Indicador Riqueza;
3503604;Areiópolis;0,278;2014;Riqueza;0,457;;;;;Indicador Riqueza;
3503604;Areiópolis;0,269;2016;Riqueza;0,438;;;;;Indicador Riqueza;
3503604;Areiópolis;0,288;2018;Riqueza;0,451;;;;;Indicador Riqueza;
3503604;Areiópolis;0,277;2020;Riqueza;0,439;;;;;Indicador Riqueza;
3503604;Areiópolis;0,283;2022;Riqueza;0,441;;;;;Indicador Riqueza;
